"canonical_path","interface","field","typescript_type","validator","canonical_line","source_authority_key","parity_evidence"
"FieldProvenance.source_id","FieldProvenance","source_id","string","FieldProvenanceSchema","61","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.source_url","FieldProvenance","source_url","string | null","FieldProvenanceSchema","62","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.source_document_hash","FieldProvenance","source_document_hash","string | null","FieldProvenanceSchema","63","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.method","FieldProvenance","method","EvidenceMethod","FieldProvenanceSchema","64","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.captured_at","FieldProvenance","captured_at","ISODateTime","FieldProvenanceSchema","65","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.source_effective_date","FieldProvenance","source_effective_date","ISODateTime | null","FieldProvenanceSchema","66","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.confidence","FieldProvenance","confidence","Confidence","FieldProvenanceSchema","67","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.epistemic_state","FieldProvenance","epistemic_state","EpistemicState","FieldProvenanceSchema","68","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.stale_after","FieldProvenance","stale_after","ISODateTime | null","FieldProvenanceSchema","69","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"FieldProvenance.freshness_status","FieldProvenance","freshness_status","""current"" | ""stale"" | ""expired""","FieldProvenanceSchema","70","FieldProvenance","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.gate_type","ReviewGate","gate_type","ReviewGateType","ReviewGateSchema","169","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.severity","ReviewGate","severity","""blocking"" | ""warning""","ReviewGateSchema","170","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.status","ReviewGate","status","""open"" | ""passed"" | ""failed"" | ""waived_with_reason""","ReviewGateSchema","171","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.reason","ReviewGate","reason","string | null","ReviewGateSchema","172","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.evidence_ids","ReviewGate","evidence_ids","AshID[]","ReviewGateSchema","173","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.reviewed_at","ReviewGate","reviewed_at","ISODateTime | null","ReviewGateSchema","174","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"ReviewGate.reviewed_by","ReviewGate","reviewed_by","string | null","ReviewGateSchema","175","ReviewGate","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.source_id","SourceRegistryEntry","source_id","string","SourceRegistryEntrySchema","220","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.display_name","SourceRegistryEntry","display_name","string","SourceRegistryEntrySchema","221","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.authority_rank","SourceRegistryEntry","authority_rank","AuthorityRank","SourceRegistryEntrySchema","222","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.owner","SourceRegistryEntry","owner","string","SourceRegistryEntrySchema","223","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.access_mode","SourceRegistryEntry","access_mode","AccessMode","SourceRegistryEntrySchema","224","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.endpoint_url","SourceRegistryEntry","endpoint_url","string | null","SourceRegistryEntrySchema","225","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.api_status","SourceRegistryEntry","api_status","""verified"" | ""unverified"" | ""not_available""","SourceRegistryEntrySchema","226","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.download_status","SourceRegistryEntry","download_status","""available"" | ""available_with_caveats"" | ""not_available""","SourceRegistryEntrySchema","227","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.auth_type","SourceRegistryEntry","auth_type","""none"" | ""api_key"" | ""oauth"" | ""manual""","SourceRegistryEntrySchema","228","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
"SourceRegistryEntry.license_or_terms_url","SourceRegistryEntry","license_or_terms_url","string | null","SourceRegistryEntrySchema","229","SourceRegistryEntry","src/domain/__tests__/property-envelope.type-parity.ts"
